fold,accuracy,f1_weighted,macro_precision,macro_recall,macro_f1
1,0.9464435146443515,0.946723088624578,0.8514865647292584,0.8697763096466656,0.8591291806309704
2,0.9422110552763819,0.9433070719624082,0.8416868384196161,0.8706401341057313,0.8555959144026138
3,0.9455611390284757,0.9455250524225982,0.8410435455672792,0.8455944333804802,0.84096199984566
4,0.9338358458961474,0.9341252233552002,0.8294592913152368,0.840778471908172,0.8325346081172892
5,0.9455611390284757,0.9461738838525904,0.8514161401666135,0.8688890587226626,0.8599401642504113
