fold,accuracy,f1_weighted,macro_precision,macro_recall,macro_f1
1,0.9598326359832636,0.9583649747852547,0.8973501588739424,0.866108175726431,0.8784359520288033
2,0.9547738693467337,0.9536951222958254,0.8873981474978736,0.8572455196131626,0.8715151650212823
3,0.9564489112227805,0.9542236588368938,0.8780440950090963,0.8355562697519954,0.8527671667932143
4,0.9514237855946399,0.9490506990223654,0.8851042364180172,0.8357729609318517,0.8560391717775399
5,0.9606365159128978,0.9594047908607164,0.9049112067591264,0.8659163820486873,0.8840201732218839
