fold,accuracy,f1_weighted,macro_precision,macro_recall,macro_f1
1,0.9598326359832636,0.9591168842547072,0.8971986504939453,0.883655161626054,0.8892911174655916
2,0.9505862646566164,0.9498976902523564,0.8633976120261133,0.8479127656669468,0.8553971170046534
3,0.9530988274706867,0.9525391038619778,0.863680248731795,0.8525244605370812,0.8559610321667678
4,0.9463986599664992,0.9441335493542404,0.8645569879636735,0.8275942508513282,0.8420581271746808
5,0.9606365159128978,0.9601313947280354,0.8989770299145299,0.8812014216843762,0.8897118712789819
